Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0226156737713178,0,-0.0614106147545785,0,0,0,20.2382223355292,0.194613840751609,-2.81411013650449E-18,-0.0546845737309028,0.542733615643197,-8.07246060115331E-18,0.554753674132273,0,0,0,0,0,0,package://robot_model/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_model/meshes/base_link.STL,,Robot Body2-1,Base_cs,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_BR,0,0.03,0,0,0,0,1.0412,0.0018022,-1.1488E-35,-7.1988E-39,0.00298,4.5091E-36,0.0018022,0,0,0,0,0,0,package://robot_model/meshes/link_BR.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robot_model/meshes/link_BR.STL,,Wheel2-1,BR_cs,BR_axis,joint_BR,continuous,-0.15855,-0.185,-0.075,0,0,0,base_link,0,1,0,,,,,,,,,,,,
link_MR,-1.1102E-16,0.03,0,0,0,0,1.0412,0.0018022,-1.1488E-35,-7.1988E-39,0.00298,4.5091E-36,0.0018022,0,0,0,0,0,0,package://robot_model/meshes/link_MR.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robot_model/meshes/link_MR.STL,,Wheel2-2,MR_cs,MR_axis,joint_MR,continuous,0.0081106,-0.185,-0.075,0,0,0,base_link,0,1,0,,,,,,,,,,,,
link_FR,0,0.03,0,0,0,0,1.0412,0.0018022,-1.1488E-35,-7.1988E-39,0.00298,4.5091E-36,0.0018022,0,0,0,0,0,0,package://robot_model/meshes/link_FR.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robot_model/meshes/link_FR.STL,,Wheel2-3,FR_cs,FR_axis,joint_FR,continuous,0.17478,-0.185,-0.075,0,0,0,base_link,0,1,0,,,,,,,,,,,,
link_BL,0,-0.03,0,0,0,0,1.0412,0.0018022,-1.1488E-35,-7.1988E-39,0.00298,4.5091E-36,0.0018022,0,0,0,0,0,0,package://robot_model/meshes/link_BL.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robot_model/meshes/link_BL.STL,,Wheel2-6,BL_cs,BL_axis,joint_BL,continuous,-0.15855,0.185,-0.075,0,0,0,base_link,0,1,0,,,,,,,,,,,,
link_ML,-1.1102E-16,-0.03,0,0,0,0,1.0412,0.0018022,-1.1488E-35,-7.1988E-39,0.00298,4.5091E-36,0.0018022,0,0,0,0,0,0,package://robot_model/meshes/link_ML.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robot_model/meshes/link_ML.STL,,Wheel2-5,ML_cs,ML_axis,joint_ML,continuous,0.0081106,0.185,-0.075,0,0,0,base_link,0,1,0,,,,,,,,,,,,
link_FL,0,-0.03,0,0,0,0,1.0412,0.0018022,-1.1488E-35,-7.1988E-39,0.00298,4.5091E-36,0.0018022,0,0,0,0,0,0,package://robot_model/meshes/link_FL.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robot_model/meshes/link_FL.STL,,Wheel2-4,FL_cs,FL_axis,joint_FL,continuous,0.17478,0.185,-0.075,0,0,0,base_link,0,1,0,,,,,,,,,,,,
